"Date","Daily Issuance Rate","Active Supply","Transaction Volume","Adjusted Transaction Volume","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions Count","Transactions per Second Count"
"2022-04-13","","","","","","","","","",""
"2022-04-12","0.0050302625","17234272.46648325","66779760776.10564","28627228125.526928","713960.64744394","2.063614784163","97.23489280506536","0.00242503","273114","3.161041666667"
"2022-04-11","0.0045044486","17233490.90599968","62414717148.8849","25441824276.95708","643379.73079081","1.852087689786","91.96556216804957","0.00232565","279217","3.231678240741"
"2022-04-10","0.0046032935","17231576.57810274","21790678307.321316","11810283317.165476","279437.67339255","0.775919638785","81.97953435025372","0.00193968","218201","2.525474537037"
"2022-04-09","0.0050309738","17230786.8379328","18749702916.711006","7183055713.985492","168296.35200595","0.615778211822","84.55062376126277","0.00198099","228357","2.643020833333"
"2022-04-08","0.004406434","17230084.80908619","54927985189.04551","21580579860.007618","511120.85179099","1.53040946424","96.83145966129027","0.002293385","270556","3.131435185185"
"2022-04-07","0.0045381693","17229273.94626885","50435410977.63618","17298075521.487736","397026.71151102","1.441804316027","99.77791061399336","0.00229011","266096","3.079814814815"
"2022-04-06","0.0049330166","17228218.50531495","47836072522.66022","22268932153.496544","514235.4104143","1.378100791939","99.08645985441854","0.00228811","272206","3.150532407407"
"2022-04-05","0.004768818","17227463.17368732","29137237190.01591","13315475155.905418","291411.48400083","0.763500696444","99.84156626211843","0.00218505","276073","3.195289351852"
"2022-04-04","0.005196615","17226004.55326564","24816620455.920086","11318767249.605646","242564.04938375","0.623745314891","102.15464874448412","0.0021892","276178","3.19650462963"
"2022-04-03","0.0045719432","17225124.83289296","20112227917.81448","9733480151.198772","209590.14136059","0.61071538878","88.70143876092341","0.00191","223619","2.58818287037"
"2022-04-02","0.0044405795","17224382.38839816","26719518796.906322","10913731816.138195","237565.43758135","0.735145312483","94.35641456391781","0.00205391","250576","2.900185185185"
"2022-04-01","0.0046381445","17223821.30411774","47734850561.54611","24474843333.06425","529181.95406716","1.134782726691","109.3764952803951","0.00236488","286454","3.315439814815"
"2022-03-31","0.0045396712","17222963.04088323","43883582309.167885","20927904431.655243","459325.92219479","1.128282751688","108.97205049544712","0.00239172","280038","3.241180555556"
"2022-03-30","0.0044411843","17222204.69386892","42579614580.49708","16701647692.593897","354424.42917749","1.128042357046","100.39618457353001","0.0021305","269490","3.119097222222"
"2022-03-29","0.0049677675","17221496.44618121","38141153415.90799","16955459271.250933","357229.96341003","0.924833059484","106.33722052345432","0.00224039","293194","3.393449074074"
"2022-03-28","0.0052312204","17220582.29274466","51835710679.26261","22702368451.772953","480741.47306144","1.299116906986","106.1068256696244","0.0022469","289835","3.354571759259"
"2022-03-27","0.0043102246","17218060.6320752","24325183827.148186","9983110821.31078","213418.28113922","0.736947956415","88.87669069041497","0.0019","219139","2.536331018519"
"2022-03-26","0.0052975273","17217199.66048345","19601082986.50292","7523274989.03533","168986.68796106","0.60977185516","87.8756576407324","0.00197385","229765","2.65931712963"
"2022-03-25","0.0051332798","17216505.05959901","50190406314.249115","22968668496.247902","517930.20366149","1.27301024151","99.64069050091352","0.00224684","286600","3.31712962963"
"2022-03-24","0.004705748","17215549.23869741","45019448562.96273","22624280784.397545","514485.27293363","1.241087203964","102.06503171833405","0.002321","269340","3.117361111111"
"2022-03-23","0.0047717872","17214895.97088526","30118640647.303448","13464110678.855595","315066.40273227","0.867215150664","100.58605067577786","0.00235376","266381","3.083113425926"
"2022-03-22","0.0049036567","17214010.39355479","36325116001.57557","15822819091.844398","373327.88631677","1.081653836037","100.32096225090729","0.002367","260695","3.017303240741"
"2022-03-21","0.0050355454","17213081.21986951","33575288528.06679","12961262856.171873","315632.36034749","1.030143147461","97.45266718597325","0.002373165","260248","3.01212962963"
"2022-03-20","0.0050687127","17212404.22160279","15900772015.634535","6225712995.257436","150762.9175265","0.567708663237","82.07615361256725","0.00198757","211211","2.444571759259"
"2022-03-19","0.0051018851","17211293.52715962","16779020775.971367","7854899712.3556795","186165.23214573","0.53250860636","84.91162793359834","0.00201245","236675","2.739293981481"
"2022-03-18","0.0047071406","17210726.59172446","29877395236.245106","12592829934.50605","301075.76599095","0.819852930793","98.02995954143226","0.00234375","266839","3.088414351852"
"2022-03-17","0.00523406","17209845.50623388","24888474838.579353","10375366065.611917","253265.15820772","0.693188871214","96.03716155068011","0.00234429","272685","3.156076388889"
"2022-03-16","0.0051026526","17209250.06445393","35655703728.18748","17294922052.98468","420782.91642575","1.009587367154","101.82963165480696","0.0024775","276789","3.203576388889"
"2022-03-15","0.0045761607","17208349.32671604","22817264479.435223","9471313346.909277","240652.44130179","0.701219857384","100.15876212611963","0.00254489","266692","3.086712962963"
