"Date","Price (Close)","Price (Open)","Circulating Marketcap","Outstanding Marketcap","1 Day Active Supply","Supply in top 100 addresses","Supply in addresses with balance greater than $10M","Supply in addresses with balance greater than $1M","Supply in addresses with balance greater than $100K","Supply in addresses with balance greater than $10K"
"2022-04-13","","","761993207259.5903","","","","","","",""
"2022-04-12","39779.43997475103","39536.565673124525","751553542122.8496","762229617848.9938","388280.12505049","2938511.28106553","10728472.6290887","15305345.18523717","17300969.12680699","18539947.61055221"
"2022-04-11","39533.54310937428","42162.158875754525","801428308341.9956","751691818357.7858","311645.01367473","2944146.9478166","10678346.11814908","15228247.76990969","17284438.1029571","18528674.48010612"
"2022-04-10","42162.757863508654","42764.55510310976","812841636201.0851","803368401022.6544","230906.19918305","2945435.25506092","10782137.63728251","15349902.02236644","17325114.30672201","18552279.47916413"
"2022-04-09","42764.05682410218","42262.439859131075","803257090513.228","811248536966.8553","360022.62990709","2945076.46524038","10788791.55018911","15356100.95829154","17328152.37037025","18553619.50403627"
"2022-04-08","42263.37052318826","43450.79929391471","825806599225.2565","802485243344.1832","400810.72841379","2941895.24284897","10777468.18730152","15347841.06703414","17322319.66997986","18550260.78771101"
"2022-04-07","43455.12215450721","43172.13360907405","820473965665.9729","828049823775.4827","430530.75402702","2945673.94338731","10813814.00955743","15377899.62447513","17337606.0140423","18557691.87537403"
"2022-04-06","43176.59711905165","45507.124690213255","864806293874.3883","822992941537.3003","431246.53377068","2941393.25528389","10805324.1805367","15368937.20501162","17333390.54489878","18555057.44992288"
"2022-04-05","45502.03195687107","46593.84577327729","885417026998.8666","868334945220.4375","437797.73455954","2946037.9341205","10861150.51707234","15412616.70545647","17359795.84050645","18567931.82423205"
"2022-04-04","46594.42097599588","46416.27315520557","881995338551.8818","886725621050.4031","351694.82254018","2943900.16789688","10883826.24088811","15426934.84535778","17369351.58193245","18572742.90609079"
"2022-04-03","46414.52734650312","45811.18656","870459180427.9181","882452402068.5902","264197.02497915","2926471.90729699","10878987.37629386","15423277.79718955","17367918.44481206","18570985.72856995"
"2022-04-02","45822.87733644669","46299.07727409116","879690848340.7188","872899323456.1627","348488.3198479","2926008.47604199","10869813.0205323","15417439.69175864","17363872.05127055","18567526.02752769"
"2022-04-01","46298.58833405536","45519.56","864838911436.36","878758918482.4454","506575.64183003","2927969.56276911","10873693.65677066","15420655.44075996","17367520.02127969","18568393.21590946"
"2022-03-31","45537.67","47073.70128862143","894326465846.4854","865644342353.455","495650.59529797","2930462.87996132","10860716.00904156","15412244.9283902","17361931.70738021","18564260.98817385"
"2022-03-30","47075.07893502994","47449.82192964987","901430933997.483","895263051309.1228","469197.86676271","2938863.13997293","10895255.69931954","15433791.06328286","17378503.75121831","18572027.53539635"
"2022-03-29","47449.78374090007","47136.81401948128","895440379622.8286","901690266879.8414","538126.58529026","2937913.5966808","10904266.14246736","15441137.51337003","17382790.5645451","18573175.55137259"
"2022-03-28","47138.51218039279","46839.8346705387","889753105459.4185","897085228548.5029","475499.2996883","2947912.02283362","10909145.88700623","15447590.57095907","17380129.82249795","18571498.04062962"
"2022-03-27","46842.63905822231","44535.32899458117","845939088226.9935","888557797875.1592","258529.0642268","2954136.42781809","10902804.86567426","15443931.53443186","17375326.4470766","18568534.31993009"
"2022-03-26","44535.51077478116","44334.67756353557","842084530722.4127","845643141455.3472","386696.3203141","2955602.26660157","10855178.6682371","15404480.61533883","17351452.92125399","18555493.89366666"
"2022-03-25","44329.92128566712","44017.71448600509","836022112681.8087","842314472588.2869","429061.3144671","2952682.95241966","10852983.95229738","15403076.26032519","17348308.3245255","18553701.27924365"
"2022-03-24","44013.207614417566","42896.60261573867","814689317012.5284","835197568855.9592","382331.07614703","2936382.39093456","10843520.52526587","15397239.33514076","17344197.84372227","18550945.8502203"
"2022-03-23","42899.62081072618","42374.94772776329","804744454420.705","811600915721.3618","418695.80801569","2935369.99437948","10817090.46742479","15373728.7378033","17330085.36148577","18543098.06501748"
