"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2022-04-12","3036.8229828484787","2980.6711437617387","3930160836.5860906","0.5793198443636935","","","","","","2317100"
"2021-05-08","3915.19018182297","3485.6417284986474","13683042090.858328","0.9779492846542046","847017","162727033971.15616","108833992540.53627","1710882","19.801875",""
"2021-04-07","1963.6291877529823","2112.470400536496","6489564608.729568","0.7995347329957756","615252","67358777035.34621","36457380776.293274","1312638","15.192569444444",""
"2021-05-19","2444.726868432944","3382.8095783223007","28297988754.510323","1.3503682118766123","795909","51262477607.37579","36052158885.41072","1461174","16.911736111111",""
"2021-05-20","2775.3475881816053","2458.7356513987233","20813285246.84465","1.5848492971125572","766729","39268552403.14048","28580086507.97493","1459146","16.888263888889",""
"2021-05-13","3721.1249075156993","3765.096255536917","16149665344.379948","1.09343196975017","883375","36711656898.91508","27536281820.10278","1588560","18.386111111111",""
"2021-05-11","4178.58581343458","3955.3565162395444","12818277234.874668","1.0055216978932615","868387","32831406426.98977","25226960175.91592","1716051","19.861701388889",""
"2021-05-10","3953.484513685506","3934.78846454075","16739096815.480537","1.0102296122744294","857448","32121033158.944164","24813288415.245743","1716489","19.866770833333",""
"2021-05-12","3822.2461189145697","4175.41623262403","22057395551.52625","1.0123603201760525","842506","31625411451.428326","23707579280.066303","1624077","18.7971875",""
"2021-05-24","2651.0800699801516","2110.237948371195","17258007127.92105","1.807980163334266","696056","39414881302.31613","22378736209.449146","1312739","15.193738425926",""
"2021-05-04","3241.2406625599865","3431.226175476913","21560870984.990364","0.9461586480537917","786367","31581838348.99807","22138543356.70868","1536119","17.779155092593",""
"2021-05-03","3432.7805917019664","2950.8781947937405","15735898877.055916","0.8528004989895994","773107","32753556013.98127","21026184739.911373","1488804","17.231527777778",""
"2021-05-23","2101.0069806851643","2293.038631652544","14988128721.514904","1.7597406072824189","753755","31645584624.861263","20884062028.193676","1264253","14.63255787037",""
"2021-05-17","3284.977856776453","3584.5621746333236","19258194485.000134","1.2183562749212158","729765","27728292717.860806","20185719868.845787","1446627","16.743368055556",""
"2021-10-29","4419.95893825604","4287.491394138913","11441398910.460796","0.6981514159077786","711170","27857287339.02448","19584312173.484173","1456333","16.855706018519",""
"2021-02-04","1597.3270316446767","1667.1944152589397","9103389314.222832","1.3972065797528932","637964","30933878367.62376","19265110383.39784","1309863","15.160451388889",""
"2021-05-07","3482.8204508464646","3492.5313226247235","8028945686.464366","0.9473602286640617","756547","28302664771.028603","19230347259.354614","1527890","17.683912037037",""
"2021-05-25","2707.664471782805","2646.022860459163","15650669709.035742","1.8900315648014825","655006","35874079577.78416","19149335431.14459","1289446","14.924143518519",""
"2021-05-21","2435.27134995427","2787.851917846758","16699426288.08797","1.6377725904054328","700299","28229582166.29322","19044974274.77059","1367394","15.826319444444",""
"2021-11-15","4564.140436308366","4627.851243613827","5053331100.693714","0.6122054796881676","606036","20812736959.44637","18470236435.20263","1289636","14.926342592593",""
"2021-05-26","2889.1670141690765","2707.814456596986","13378744629.912249","1.8639511915412244","687683","32273286595.95717","18186715675.333622","1326432","15.352222222222",""
"2021-05-05","3530.832926270785","3250.447314706038","13798940671.896107","0.9722155992906621","789933","27474523385.33782","18112501506.764748","1518877","17.579594907407",""
"2021-06-18","2233.820788440249","2370.294265874906","5680766012.263741","1.5201460902369621","576902","39848709296.24683","17378674817.512432","1170182","13.543773148148",""
"2021-10-27","3925.5841548346084","4130.846966016663","15920101317.456717","0.6947268494901853","619065","24832469006.714462","17255837834.956886","1370504","15.862314814815",""
"2021-02-23","1578.1761756436806","1778.4455961615736","14381072351.397228","1.0586736835589095","629862","24735190040.07718","17255385546.179638","1302882","15.079652777778",""
"2021-12-06","4353.469577161016","4199.081312160224","9256755886.78333","","590753","21087633949.43844","17100404632.455553","1244773","14.407094907407",""
"2021-05-14","4079.9858363077997","3717.536427512658","14460483320.65228","1.0967746798879983","809164","22063118506.21521","17086257366.693653","1531689","17.727881944444",""
"2021-05-06","3492.043538741025","3526.8981318528236","10521168637.84804","0.9935470110593368","773968","24885792578.914173","17046068359.63842","1532197","17.733761574074",""
"2021-09-02","3787.8108426208964","3794.7195897467127","10442052232.632269","0.869768916292456","567055","23739914428.907677","17022694452.797775","1261258","14.597893518519",""
"2021-12-04","4124.150705697404","4218.754780923045","13619926410.742447","","552443","21287371448.95874","16959204914.069397","1235697","14.302048611111",""
"2021-05-09","3927.93922867147","3910.7625823382564","12232243677.889175","1.0062156537817404","894748","24869049999.56942","16774969849.507046","1716600","19.868055555556",""
"2021-11-03","4605.18664004193","4586.637391712648","6307338504.026717","0.6500276313502683","698046","19310167757.633797","16359319687.651217","1417221","16.403020833333",""
"2021-11-30","4630.729459465162","4447.676491746537","8747634588.78886","0.7818041329748504","626327","20059920358.456978","16272214256.410091","1280926","14.825532407407",""
"2021-04-02","2134.453318083109","1972.7693954615802","6399362786.155013","0.7516240848474491","660375","23842255199.382145","16135340830.830503","1358619","15.724756944444",""
"2021-05-27","2744.226781642471","2889.43","9775052644.92035","1.8737168972684424","723157","26825920404.45513","15739804190.758541","1291385","14.946585648148",""
"2021-04-22","2399.1880894395154","2365.146999949259","18175599842.868603","0.8488917604731736","768202","19828095924.66997","15531006408.68366","1577266","18.255393518519",""
"2021-10-14","3791.2900605785617","3606.847455893315","9682105397.007233","0.9330588741626881","554284","18267026580.186596","15486405939.188559","1227097","14.202511574074",""
"2021-06-22","1879.9578180169724","1891.0039634374937","9423894015.734758","1.4509333912327693","665961","24991890025.78843","15420449168.754005","1297644","15.019027777778",""
