"Date","Daily Issuance Rate","90 Days Active Supply","Addresses Count","Addresses with balance greater than $100K","Addresses with balance greater than $10K","Addresses with balance greater than $1K","Addresses with balance greater than $100","Addresses with balance greater than $10","Addresses with balance greater than $1","Addresses with balance greater than 1M native units"
"2022-04-12","","","","","","","","","",""
"2022-04-11","0.011475601","43164685.86765387","79096454","106298","630411","3190306","12827037","33896878","60068182","7"
"2022-04-10","0.0113980046","43085367.07607366","79031306","114361","660311","3339207","13276197","34461289","60541004","7"
"2022-04-09","0.0113657948","43174062.858252674","78976489","115553","666462","3361229","13353680","34564943","60579975","7"
"2022-04-08","0.0113567807","43239293.0153869","78919004","113557","655586","3309332","13207380","34370236","60406590","7"
"2022-04-07","0.0114103002","43311170.25427053","78853323","115099","662302","3339191","13310570","34483908","60453681","7"
"2022-04-06","0.0114286513","43253962.747915044","78787684","113474","653870","3298871","13190090","34320006","60296019","7"
"2022-04-05","0.0114609072","43342406.93697787","78725345","122189","704516","3479996","13743572","34965037","60792589","7"
"2022-04-04","0.0112546955","43403160.51732347","78656309","124603","715342","3535687","13945387","35179960","60926719","7"
"2022-04-03","0.0114338627","43389475.99198383","78586486","124456","714245","3527777","13924680","35140787","60856682","7"
"2022-04-02","0.0112860678","43437751.25980449","78521133","122959","706560","3481291","13772231","34951481","60666836","7"
"2022-04-01","0.0114813816","43432291.398307785","78448771","122575","705521","3470449","13746919","34901267","60577055","7"
"2022-03-31","0.0114047254","43342331.003124796","78376564","116179","667037","3334098","13317979","34396390","60121270","7"
"2022-03-30","0.0114129286","43446153.141662195","78296107","121372","698216","3423873","13610378","34703109","60319189","7"
"2022-03-29","0.0115192724","43469877.680198565","78222321","121714","699978","3432574","13630853","34698988","60282832","7"
"2022-03-28","0.0115109346","42727767.27190842","78140259","120424","691890","3388606","13517192","34510632","60118071","7"
"2022-03-27","0.011374036","42830798.78534091","78063721","116523","667452","3327326","13311543","34313855","59889113","7"
"2022-03-26","0.0113982286","42837902.060122594","78000615","112660","648275","3234066","13049898","33944017","59560969","7"
"2022-03-25","0.0115019778","42833903.861407645","77955236","110249","641613","3227660","13001213","33856677","59466885","7"
"2022-03-24","0.0114513363","42819407.06013344","77896202","110571","642334","3248813","13022675","33865901","59444642","7"
"2022-03-23","0.0114924381","42913732.78945585","77830500","107117","631253","3202229","12852028","33638569","59209388","7"
"2022-03-22","0.0114417051","42680531.41859145","77767933","106219","628110","3193028","12774070","33521960","59089288","7"
"2022-03-21","0.0113837878","42589339.94965207","77704128","104131","618657","3169793","12600254","33262132","58824517","7"
"2022-03-20","0.0114211228","42619162.55267084","77641394","103255","614015","3196579","12522877","33144100","58702485","7"
"2022-03-19","0.0114765911","42633069.98768736","77584936","105607","624326","3257565","12699304","33388318","58910047","7"
"2022-03-18","0.0114917853","42878524.599310145","77521008","105566","623959","3253704","12687108","33359208","58868208","7"
"2022-03-17","0.011476204","42821352.12532379","77444183","101139","605561","3302024","12415273","32961534","58482829","7"
"2022-03-16","0.011391283","42910662.23742112","77372428","99531","598505","3263171","12312702","32804553","58300081","7"
"2022-03-15","0.0114411197","43111038.03049953","77380231","95749","580624","3156693","12039512","32418475","57729437","7"
"2022-03-14","0.0115731107","43049358.85579386","77357823","95058","576697","3137381","11980757","32348228","57638853","7"
"2022-03-13","0.0113059448","43142765.92239125","77295318","93109","566713","3075712","11823072","32047163","57311702","7"
"2022-03-12","0.011666953","43079304.052978806","77242822","94652","574603","3130656","11954108","32280763","57572540","7"
"2022-03-11","0.0113149977","43115054.77679644","77183195","94096","572292","3121944","11925727","32229164","57515845","7"
"2022-03-10","0.0115565538","43180736.35407313","77127347","95283","577906","3167230","12028897","32368765","57675737","7"
"2022-03-09","0.011623693","43223890.664398566","77076874","98229","590967","3260419","12267357","32738156","58157799","7"
"2022-03-08","0.0114736532","43704550.97161323","77020773","94487","572625","3152284","11963001","32275506","57520389","7"
"2022-03-07","0.011558393","43772389.73060923","76962282","92411","559095","3089202","11800115","31961340","57193531","7"
"2022-03-06","0.0114606208","43989066.19077046","76894148","93813","569287","3137706","11914222","32166255","57379620","7"
"2022-03-05","0.0113878747","44120657.66001068","76827998","96456","582074","3216540","12125453","32462919","57708482","7"
"2022-03-04","0.0116265522","44258377.52423931","76775316","95197","575802","3182307","12031854","32329339","57537563","7"
"2022-03-03","0.0114943344","44215446.787074074","76721773","100793","601302","3335501","12461748","32949717","58238603","7"
"2022-03-02","0.0113972808","44106833.28727558","76647243","104448","616805","3419298","12718503","33264567","58455067","7"
"2022-03-01","0.0115307375","44192321.993417","76583195","104690","617721","3427196","12741571","33298615","58453038","7"
"2022-02-28","0.0114550108","44684248.56951485","76511386","103043","610650","3388956","12615352","33105787","58269591","7"
"2022-02-27","0.0115257501","44539705.320423536","76445619","94688","573147","3176571","11988764","32236428","57294772","7"
