"Date","Addresses with balance greater than 1M native units","Addresses with balance greater than 100K native units","Addresses with balance greater than 10K native units","Addresses with balance greater than 1K native units","Addresses with balance greater than 100 native units","Addresses with balance greater than 10 native units","Addresses with balance greater than 1 native units","Addresses with balance greater than 0.1 native units","Addresses with balance greater than 0.01 native units","Addresses with balance greater than 0.001 native units"
"2022-04-12","","","","","","","","","",""
"2022-04-11","7","149","1308","6699","44473","290070","1457013","6768393","22535339","46471892"
"2022-04-10","7","149","1313","6695","44476","290102","1458287","6766645","22518456","46451111"
"2022-04-09","7","149","1313","6695","44430","290044","1452014","6761958","22515452","46463605"
"2022-04-08","7","148","1312","6698","44455","290280","1448419","6756747","22516273","46470293"
"2022-04-07","7","149","1315","6691","44420","290258","1443340","6751074","22500976","46431906"
"2022-04-06","7","149","1314","6694","44462","290420","1439229","6744853","22484861","46395015"
"2022-04-05","7","150","1314","6696","44454","290487","1436838","6738104","22468245","46355500"
"2022-04-04","7","151","1316","6688","44433","290477","1434224","6726331","22445372","46304830"
"2022-04-03","7","151","1311","6690","44421","290258","1431346","6716615","22418618","46254037"
"2022-04-02","7","151","1314","6691","44436","290158","1429645","6707864","22401406","46219914"
"2022-04-01","7","152","1313","6680","44430","290098","1427816","6699244","22376429","46176075"
"2022-03-31","7","150","1315","6683","44411","290054","1426257","6693957","22352150","46128492"
"2022-03-30","7","150","1315","6704","44445","290019","1423969","6685943","22331198","46089904"
"2022-03-29","7","149","1319","6711","44497","290362","1426089","6685076","22311933","46064831"
"2022-03-28","7","150","1310","6700","44470","290174","1423625","6675963","22294849","46037911"
"2022-03-27","7","151","1305","6687","44459","290001","1422949","6668593","22279351","46018035"
"2022-03-26","7","151","1308","6684","44460","290402","1423408","6665650","22264701","46029809"
"2022-03-25","7","151","1306","6680","44474","289954","1421784","6688232","22284372","46075083"
"2022-03-24","7","151","1301","6704","44499","290035","1422498","6703063","22286880","46081530"
"2022-03-23","7","151","1292","6698","44444","289757","1421541","6710349","22283840","46075742"
"2022-03-22","7","150","1290","6708","44499","290623","1425702","6724811","22290002","46095200"
"2022-03-21","7","149","1284","6696","44513","290651","1426209","6798672","22279055","46092183"
"2022-03-20","7","149","1282","6694","44497","290490","1425624","6851188","22266291","46108736"
"2022-03-19","7","149","1282","6691","44508","290484","1427021","6847956","22259003","46145923"
"2022-03-18","7","149","1286","6702","44535","290509","1426920","6840793","22249355","46167824"
"2022-03-17","7","149","1285","6689","44443","289635","1425972","6979292","22220748","46134281"
"2022-03-16","7","150","1283","6692","44423","288839","1423617","6972889","22198208","46114426"
"2022-03-15","7","150","1285","6698","44369","288437","1422672","6970328","22255997","46181533"
"2022-03-14","7","152","1274","6699","44365","288386","1426029","6969574","22286674","46229314"
"2022-03-13","7","152","1277","6691","44302","288084","1424999","6964940","22272302","46248072"
"2022-03-12","7","152","1274","6697","44293","287973","1424591","6967210","22268398","46285240"
"2022-03-11","7","151","1277","6700","44289","287833","1425731","6970619","22271699","46338906"
"2022-03-10","7","150","1275","6695","44312","287854","1425067","6975892","22266985","46373370"
"2022-03-09","7","150","1279","6698","44301","287587","1423966","6985906","22262248","46415090"
"2022-03-08","7","150","1279","6691","44263","287189","1422062","6987599","22257116","46437069"
"2022-03-07","7","150","1277","6694","44234","286965","1422278","6990063","22248604","46453746"
"2022-03-06","7","150","1279","6696","44251","286822","1421268","6987757","22235812","46470592"
"2022-03-05","7","150","1281","6689","44247","286718","1422260","6986321","22222074","46486007"
"2022-03-04","7","150","1284","6702","44207","286407","1420767","6985384","22221568","46522355"
"2022-03-03","7","151","1282","6696","44182","286139","1420520","6979380","22209400","46540149"
"2022-03-02","7","151","1272","6689","44166","286075","1420141","6977974","22196343","46536456"
"2022-03-01","7","151","1271","6688","44124","285795","1419266","6974621","22188176","46534099"
"2022-02-28","7","151","1269","6660","44085","285631","1419275","6973699","22177485","46508584"
"2022-02-27","7","151","1275","6654","44010","285089","1419446","6970844","22160614","46489743"
"2022-02-26","7","151","1275","6658","43943","284650","1420493","6971171","22147478","46504785"
"2022-02-25","7","151","1276","6667","43944","284558","1421572","6968798","22142984","46532774"
"2022-02-24","7","151","1273","6664","43896","284167","1419868","6964643","22144541","46539812"
"2022-02-23","6","151","1265","6677","44014","285074","1424796","6972856","22135737","46499362"
"2022-02-22","6","151","1270","6698","44027","284627","1423758","6964765","22112917","46459120"
"2022-02-21","6","151","1269","6691","44028","284560","1422774","6959625","22092518","46417866"
"2022-02-20","6","152","1269","6703","43980","284503","1421384","6951955","22068412","46373994"
