"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2022-04-12","","","","","","","","0"
"2022-04-11","109190489.50045447","9146794.866906384","2583547.121189026","3.3134914513392637","181.86285803287566","0.060919485","12.885","0"
"2022-04-10","3855340.9658501763","25114003.599662453","882335.2471028503","1.1306440834459832","186.6516430169494","0.058","12.780543981481","0"
"2022-04-09","-7257166.031199678","-396479779.8974572","997611.187422259","1.2580659037435753","162.898154237288","0.05","12.562488425926","0"
"2022-04-08","-6143865.576033352","30838625.274783768","1711387.0862429223","2.2753487251358187","254.8612773115136","0.08","12.782627314815","0"
"2022-04-07","45815928.03616228","-42238006.530899465","2122009.168323796","2.757166104786365","288.8920094191392","0.0892140709143929","13.053159722222","0"
"2022-04-06","-19354013.968230926","21489412.79997867","2175675.282960646","2.7592745707733437","254.6962695265928","0.08","13.04599537037","0"
"2022-04-05","-18814765.27685306","-5698968.188467068","1703425.6021396657","1.9891452645189527","239.7748410894214","0.07","12.582511574074","0"
"2022-04-04","-33208128.629786033","79033542.97823426","1498669.5024366728","1.8331936060656628","268.75325487003363","0.07623328","12.791319444444","0"
"2022-04-03","1172697.1033603123","-87104494.93396822","1116916.7465399255","1.4300463853020855","280.97191899724794","0.07978683","12.277534722222","0"
"2022-04-02","-64398464.18173657","88997232.11073434","1570186.7565083082","2.0481332806658266","281.67105539704306","0.081597296","12.669768518519","0"
"2022-04-01","-22761462.371016514","-89383171.98572165","2283145.860204738","3.0794422783746955","340.3438338860313","0.09875","13.42005787037","0"
"2022-03-31","-93701904.27216913","-8752872.673331335","2615689.933963795","3.6499934668560425","262.5430008649912","0.08","13.508344907407","0"
"2022-03-30","-71375673.2238188","-13238918.808937907","2633677.7122683516","3.3695043225111796","251.23759015185968","0.07413217117928235","13.335648148148","0"
"2022-03-29","-824593132.2489613","20077717.846079852","2697765.658673951","3.2262316321638367","235.45698681940115","0.06927911250483965","13.887719907407","0"
"2022-03-28","-53874085.45744862","-26438158.319465213","2214796.2181519154","2.759315084699651","251.7460492229551","0.07522711064704342","14.097488425926","0"
"2022-03-27","-44091464.25114748","-14778785.16391634","1058416.9078421127","1.3832936527766355","197.3243706838104","0.06","12.993923611111","0"
"2022-03-26","-7695424.500996991","-444316.2148538103","817734.176875536","1.1214432808353703","163.78532490604917","0.052067396869680815","13.007847222222","0"
"2022-03-25","-452007930.6240353","-36369288.936165385","2489036.5296441484","3.001940108645132","232.834165743717","0.075","13.273310185185","0"
"2022-03-24","-577395493.6136255","52201671.83955741","2282367.7466020132","2.8187012147279678","248.8058865225016","0.08","13.332974537037","0"
"2022-03-23","-55090241.78255949","13622756.806801576","2467973.404855801","3.1563959887849955","200.19961405600634","0.06626653","13.477280092593","0"
"2022-03-22","-198881528.47649536","-66076873.33296284","2713714.5659283143","3.1674296046594552","238.1307860198712","0.08","14.126979166667","0"
"2022-03-21","-85467745.7921901","59696361.30805596","1839321.0151518434","2.1898015054690414","197.08525512682667","0.068","13.458668981481","0"
